Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"M-804LP3, M 804LP3",Stevie Wonder,Looking Back,"Motown, Motown","3xLP, Comp, Ltd",,1977,556049,Uncategorized,2021-03-13 08:40:14,,,
"MFP 50431, SMFP 50431",Carpenters,Ticket To Ride,"Music For Pleasure, A&M Records","LP, Album, Comp",,0,2234873,Uncategorized,2020-12-21 00:58:39,,,
STUMM 5,Depeche Mode,Speak & Spell,Mute,"LP, Album",,1981,56293,Uncategorized,2020-12-21 00:55:02,,,
"INT 136.800, L 12 Bong 2",Depeche Mode,Get The Balance Right And Live Tracks,"Mute, Mute","12"", Ltd, Num, RE",,1984,135728,Uncategorized,2020-12-21 01:00:28,,,
585003,Depeche Mode,Love In Itself∙ 2 ∙ 3 And Live Tracks,"Mute, Vogue","LP, MiniAlbum",,1985,104193,Uncategorized,2021-03-13 08:39:31,,,
585006,Depeche Mode,Shake The Disease,"Mute, Vogue","12"", S/Edition",,1985,193527,Uncategorized,2021-03-13 08:51:58,,,
none,Pink Floyd,"Live At Osaka Festival Hall Osaka, Japan - March 8, 1972",Not On Label,"LP, Ltd, Unofficial, Whi",,0,15143444,Uncategorized,2020-12-25 05:03:02,,,
0190295209414,Gorillaz,Song Machine Season One,Parlophone,"LP, Album, Ltd, Ora",,2020,16088062,Uncategorized,2020-11-11 09:12:35,,,
07243 873838 1 4,Gorillaz,Demon Days,Parlophone,"2xLP, Album, Gat",,2005,474703,Uncategorized,2021-03-13 08:46:10,,,
"5099962616614, 626 1661",Gorillaz,Plastic Beach,"Parlophone, Parlophone","2xLP, Album, 180",,2010,2440818,Uncategorized,2021-03-13 08:46:41,,,
"DB 74766, 0190295990282",David Bowie,Station To Station,"Parlophone, Parlophone","LP, Album, Ltd, RE, RM, Red",,2021,17004588,Uncategorized,2021-01-22 11:39:32,,,
"PHLP 4005, 88875126321",Various,A Christmas Gift For You From Philles Records,"Philles Records, Legacy, Sony Music","LP, Album, RE, 180",,2015,7733149,Uncategorized,2020-12-21 00:51:22,,,
POLS 272,ABBA,Arrival,Polar,"LP, Album",,1976,441165,Uncategorized,2020-12-21 00:56:14,,,
2625 034,Golden Earring,Live,Polydor,"2xLP, Album, Gat",,1977,370149,Uncategorized,2020-09-27 19:54:01,,,
1C 188-93 915/916,Deep Purple,Made In Japan,Purple Records,"2xLP, Album, Gat",,1972,433442,Uncategorized,2021-03-13 08:06:22,,,
LSP-4155,Elvis Presley,From Elvis In Memphis,RCA Victor,"LP, Album, Roc",,1969,1523667,Uncategorized,2020-09-06 21:12:22,,,
LSP-4445,Elvis Presley,That's The Way It Is,RCA Victor,"LP, Album",,1970,688938,Uncategorized,2021-03-13 08:02:54,,,
"APL 1-1327, 26.21611",David Bowie,Station To Station,"RCA, RCA, RCA Victor, RCA Victor","LP, Album",,1976,4272845,Uncategorized,2021-03-13 08:28:29,,,
528350-1,Michael Bublé,Christmas,"Reprise Records, 143 Records","LP, Album, Ltd, Red",,2014,6225887,Uncategorized,2020-12-21 00:49:12,,,
R1 565461 603497862535,The Grateful Dead,Best of the Grateful Dead Live: Volume 1,Rhino Records (2),"2xLP, Comp, 180",,2018,11756901,Uncategorized,2021-03-13 08:40:54,,,
COC 59106,The Rolling Stones,Black And Blue,Rolling Stones Records,"LP, Album, Gat",,1976,6833732,Uncategorized,2021-03-13 08:25:38,,,
"RS-2-4001, 2685 123",Various,Saturday Night Fever (The Original Movie Sound Track),"RSO, RSO","2xLP, Album, Comp, Sou",,1977,2632748,Uncategorized,2020-12-21 00:54:26,,,
"1-25194, 9 25194-1",Depeche Mode,Some Great Reward,"Sire, Sire, Mute","LP, Album",,1984,379928,Uncategorized,2020-12-21 01:00:46,,,
"5C 054-91517, 5C054-91 517",Louis Armstrong,The Best Of Louis Armstrong,"Stateside, Stateside","LP, Album, RE",,1970,2548492,Uncategorized,2021-03-13 08:51:02,,,
ELECLP 12,Dewolff & Metropole Orchestra,Live At Royal Theatre Carré,"Suburban Records, Electrosaurus Records","2xLP, Album, Ltd",,2020,16427292,Uncategorized,2020-12-21 00:52:38,,,
HJS-166,Johnny Cash & The Tennessee Two,The Very Best Of Johnny Cash,Sun (9),"LP, Comp",,1971,2354227,Uncategorized,2021-03-13 08:51:35,,,
00602537490486,Avicii,True,Universal Music,"LP, Album",,2013,6345787,Uncategorized,2021-03-13 08:33:19,,,
674 695-0,Nona (10),Nona,Universal Music,"LP, Album",,2019,14277496,Uncategorized,2021-01-22 11:40:17,,,
3752906,Dire Straits,Love Over Gold,Vertigo,"LP, Album, RE, RM, RP, 180",,2019,14578522,Uncategorized,2021-02-18 05:20:02,,,
6359 109,Dire Straits,Love Over Gold,Vertigo,"LP, Album",,1982,3382755,Uncategorized,2021-03-13 08:31:44,,,
6360 162,Dire Straits,Dire Straits,Vertigo,"LP, Album, RE",,1978,2277986,Uncategorized,2020-12-21 01:05:43,,,
814 287-1,Genesis,Genesis,Vertigo,"LP, Album",,1983,1743357,Uncategorized,2021-03-13 09:41:05,,,
824 499-1 ,Dire Straits,Brothers In Arms,Vertigo,"LP, Album",,1985,13248100,Uncategorized,2021-03-13 08:23:15,,,
9102 031,Dire Straits,Communiqué,Vertigo,"LP, Album",,1979,4916933,Uncategorized,2020-12-21 01:04:12,,,
"VERY 11, 818 243-1",Dire Straits,Alchemy - Dire Straits Live,"Vertigo, Vertigo","2xLP, Album, Gat",,1984,382434,Uncategorized,2021-03-08 01:41:20,,,
V2300,Simple Minds,Sparkle In The Rain,Virgin,"LP, Album",,1984,119163,Uncategorized,2020-12-21 00:59:16,,,
"207 750, 207 750-630",Genesis,Invisible Touch,"Virgin, Virgin, Charisma, Charisma","LP, Album, Tex",,1986,657728,Uncategorized,2020-12-21 01:04:50,,,
BSK 3010,Fleetwood Mac,Rumours,Warner Bros. Records,"LP, Album, Jac",,1977,8626822,Uncategorized,2020-09-06 21:15:12,,,
HS 3549,Kraftwerk,Computer World,Warner Bros. Records,"LP, Album, Win",,1981,23300,Uncategorized,2020-12-21 01:02:27,,,
WB 56 616,Van Halen,Van Halen II,Warner Bros. Records,"LP, Album",,1979,1748552,Uncategorized,2021-03-13 08:28:48,,,
0190295141172,Dua Lipa,Future Nostalgia,Warner Records,"LP, Album, RE, Édi",,2020,16305212,Uncategorized,2021-02-18 02:03:30,,,
251 699-1,Phil Collins,No Jacket Required,WEA,"LP, Album",,1985,850125,Uncategorized,2020-10-05 20:31:34,,,
"243875-1, WX 199",Enya,Watermark,"WEA, WEA","LP, Album",,1988,433674,Uncategorized,2020-10-16 11:30:42,,,
